epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0092,0.79545,4.08524,1.51718,0.08734,0.30079,0.10498,0.07071,0.89625,2.82211,1.6555,0.000206093,0.000206093,0.000206093
2,30.99,0.7944,3.41809,1.51523,0.147,0.37958,0.21176,0.13435,1.02185,2.39042,1.76557,0.000373398,0.000373398,0.000373398
3,42.6996,0.8039,3.03507,1.52031,0.24909,0.52342,0.31884,0.21062,0.99757,2.42912,1.76038,0.000499453,0.000499453,0.000499453
4,54.6002,0.78726,2.70953,1.49125,0.30504,0.54873,0.39164,0.27072,1.0178,2.15618,1.75267,0.000439375,0.000439375,0.000439375
5,66.4186,0.74763,2.42496,1.45153,0.48092,0.52315,0.49796,0.35181,0.92138,1.79662,1.62651,0.0003775,0.0003775,0.0003775
6,78.0541,0.70599,2.19816,1.39898,0.48938,0.63293,0.56446,0.40625,0.85756,1.66876,1.54919,0.000315625,0.000315625,0.000315625
7,89.8419,0.669,2.03279,1.37332,0.57918,0.60627,0.59815,0.43861,0.83106,1.64089,1.49885,0.00025375,0.00025375,0.00025375
8,101.595,0.60367,1.81162,1.30411,0.55278,0.63762,0.64355,0.49153,0.79068,1.5108,1.46051,0.000191875,0.000191875,0.000191875
9,113.399,0.57886,1.67878,1.27359,0.56642,0.67125,0.66928,0.52503,0.74694,1.46606,1.40291,0.00013,0.00013,0.00013
10,124.939,0.53867,1.53487,1.22997,0.69915,0.66344,0.73684,0.58613,0.72299,1.29969,1.3771,6.8125e-05,6.8125e-05,6.8125e-05
